,titulo,fecha,nota,link
0,"En agosto se compraron US$ 942 millones por dólar ahorro, un 7,6% más que en julio",02/09/2020 - 18:43,,https://www.clarin.com/economia/agosto-compraron-us-942-millones-dolar-ahorro-7-6-julio_0_EoR1vDcpY.html
1,Carne: apuestan a una Cuota Hilton que contemple el engorde a corral,02/09/2020 - 18:18,,https://www.clarin.com/rural/carne-apuestan-cuota-hilton-contemple-engorde-corral_0_PspxeZqjY.html
2,"Post canje: debutaron los nuevos bonos y por ahora rinden cerca de 12,5%",02/09/2020 - 18:04,,https://www.clarin.com/economia/post-canje-debutaron-nuevos-bonos-ahora-rinden-cerca-12-5-_0_j_lfSIvZB.html
3,El poder de compra de los asalariados cayó 5% durante la pandemia,02/09/2020 - 17:10,,https://www.clarin.com/economia/poder-compra-asalariados-cayo-5-pandemia_0_rjE6_yyBM.html
4,"En agosto, la recaudación perdió 5,1% en términos reales y desaceleró su caída en medio de la cuarentena",02/09/2020 - 17:06,,https://www.clarin.com/economia/agosto-recaudacion-cayo-9-terminos-reales_0_vXjModmZQ.html
5,Lanzan la primera tarjeta prepaga contactless sin el nombre del usuario,02/09/2020 - 15:17,,https://www.clarin.com/economia/lanzan-primera-tarjeta-prepaga-contactless-nombre-usuario_0_6khhLhK8t.html
6,La Mesa de Enlace le pidió a Basterra reforzar las acciones contra la inseguridad rural,02/09/2020 - 19:05,,https://www.clarin.com/rural/mesa-enlace-pidio-basterra-reforzar-acciones-inseguridad-rural_0_mDrnnERYr.html
7,La Mesa de Enlace le pidió a Basterra reforzar las acciones contra la inseguridad rural,02/09/2020 - 19:05,,https://www.clarin.com/rural/mesa-enlace-pidio-basterra-reforzar-acciones-inseguridad-rural_0_mDrnnERYr.html
8,El Gobierno presentó un paquete de medidas para la reactivación industrial,02/09/2020 - 15:07,,https://www.clarin.com/economia/gobierno-presento-paquete-medidas-reactivacion-industrial_0_tGghwHyZ9.html
9,El Gobierno presentó un paquete de medidas para la reactivación industrial,02/09/2020 - 15:07,,https://www.clarin.com/economia/gobierno-presento-paquete-medidas-reactivacion-industrial_0_tGghwHyZ9.html
10,Moratoria: las incoherencias de la ley que la reglamentación debería corregir,02/09/2020 - 13:48,,https://www.clarin.com/economia/moratoria-incoherencias-ley-reglamentacion-deberia-corregir_0_enhLlRovj.html
11,Migración digital: ya hay más transferencias por celular que por cajero,02/09/2020 - 12:50,,https://www.clarin.com/economia/migracion-digital-transferencias-celular-cajero_0_DgU8YaERo.html
12,Dólar hoy: el contado con liqui sube a $ 135 y se ubica dos pesos por encima del dólar blue,02/09/2020 - 12:25,,https://www.clarin.com/economia/dolar-hoy-contado-liqui-sube-135-ubica-pesos-encima-dolar-blue_0_D4Hg3K9Rf.html
13,En agosto se cortó la racha y retrocedieron las expectativas industriales,02/09/2020 - 12:19,,https://www.clarin.com/economia/agosto-corto-racha-retrocedieron-expectativas-industriales_0_gTn-X64-6.html
14,Los supermercados regionales denuncian aumentos de precios y desabastecimiento,02/09/2020 - 11:10,,https://www.clarin.com/economia/supermercados-regionales-denuncian-aumentos-precios-desabastecimiento_0_rYuZT1fZz.html
15,Motos: cuáles son los modelos más vendidos de agosto,02/09/2020 - 10:51,,https://www.clarin.com/economia/motos-sube-venta-agosto-afianzan-modelos-chicos_0_t70bxXahc.html
16,AUH y asignaciones familiares: cómo quedan los nuevos valores tras el aumento,02/09/2020 - 9:34,,https://www.clarin.com/economia/auh-asignaciones-familiares-quedan-nuevos-valores-aumento_0_-hVQKq-z6.html
17,Dólar hoy: a cuánto cotizan el oficial y sus diferentes tipos de cambio este miércoles 02 de septiembre,02/09/2020 - 9:00,,https://www.clarin.com/economia/dolar-hoy-cotizan-oficial-diferentes-tipos-cambio-miercoles-02-septiembre_0_JKGhcOG4E.html
18,Dólar blue hoy: a cuánto cotiza este miércoles 02 de septiembre,02/09/2020 - 7:00,,https://www.clarin.com/economia/dolar-blue-hoy-cotiza-miercoles-02-septiembre_0_KXueKpTnV.html
19,Pasó el canje y el dólar sigue bajo presión: ¿la solución es desdoblar?,02/09/2020 - 6:01,,https://www.clarin.com/economia/paso-canje-dolar-sigue-presion-solucion-desdoblar-_0_ogrd6IriW.html
20,IFE ANSES: quiénes cobran este miércoles 2 de septiembre,02/09/2020 - 6:01,,https://www.clarin.com/economia/ife-anses-cobran-miercoles-2-septiembre_0_tpFOs_crF.html
21,Suben depósitos en dólares por ahorristas que dejan los US$ 200 en el banco,02/09/2020 - 6:01,,https://www.clarin.com/economia/suben-depositos-dolares-ahorristas-dejan-us-200-banco_0_pSJwNMGqd.html
22,Los granos se entonan y se revaloriza en 2.000 millones de dólares la próxima cosecha,02/09/2020 - 5:55,,https://www.clarin.com/rural/granos-entonan-revaloriza-2000-millones-dolares-proxima-cosecha_0_Cuvsgefwi.html
23,Deuda: cinco claves para entender la negociación que llevó a cabo Martín Guzmán,01/09/2020 - 21:11,,https://www.clarin.com/economia/deuda-claves-entender-negociacion-llevo-cabo-martin-guzman_0_NwbiLLIE_.html
24,Deuda: cinco claves para entender la negociación que llevó a cabo Martín Guzmán,01/09/2020 - 20:34,,https://www.clarin.com/economia/autos-gobierno-comenzo-liberar-importados-varados-puerto-zarate_0_Bxo67g_mQ.html
25,Cómo es y qué dice la ley del Impuesto a las Ganancias,01/09/2020 - 19:56,,https://www.clarin.com/economia/como-es-y-que-dice-la-ley-del-impuesto-a-las-ganancias_0_mY3sU7jXT.html
26,¿Van por la baja del dólar después del éxito del canje?,01/09/2020 - 19:14,,https://www.clarin.com/economia/-van-baja-dolar-despues-exito-canje-_0_gW-wjNyYJ.html
27,Otro paso: el canje de deuda local cerró con un piso de 93% de adhesión,01/09/2020 - 18:48,,https://www.clarin.com/economia/paso-canje-deuda-local-cerro-piso-93-adhesion_0_d3luFdp91.html
28,Moody's evalúa mejorar la perspectiva de deuda para Argentina pero advierte por reservas,01/09/2020 - 18:39,,https://www.clarin.com/economia/moody-s-evalua-mejorar-perspectiva-deuda-argentina-advierte-reservas_0_CyHEP8KD_.html
29,EE.UU. descartó represalias para los países que voten una iniciativa argentina en el BID,01/09/2020 - 18:17,,https://www.clarin.com/economia/ee-uu-descarto-represalias-paises-voten-iniciativa-argentina-bid_0_qeIQD3hIq.html
30,Beijing invitó a Alberto Fernández a dar un mensaje con Xi Jinping,01/09/2020 - 15:00,,https://www.clarin.com/politica/beijing-invito-alberto-fernandez-dar-mensaje-xi-jinping_0_0dK2rvqZY.html
31,Dólares del campo: en agosto se liquidaron 1.743 millones,01/09/2020 - 14:22,,https://www.clarin.com/rural/dolares-campo-agosto-liquidaron-1-743-millones_0_CYxwtdX_C.html
32,Dólar hoy: el que compró en el oficial y vendió en el blue ganó $ 68.000 en 8 meses,01/09/2020 - 12:42,,https://www.clarin.com/economia/dolar-hoy-compro-oficial-vendio-blue-gano-68-000-8-meses_0_gl23Yhxr-.html
33,YPF está cerca de un acuerdo con los gremios para flexibilizar las condiciones de trabajo,01/09/2020 - 12:20,,https://www.clarin.com/economia/ypf-cerca-acuerdo-gremios-flexibilizar-condiciones-trabajo_0_-9P-bt4oQ.html
34,Cuentas bloqueadas: quiénes son las 15.000 personas que no podrán comprar dólares,01/09/2020 - 11:20,,https://www.clarin.com/economia/cuentas-bloqueadas-15-000-personas-podran-comprar-dolares_0_6AK2cDtyc.html
35,Clásico de principio de mes: sitios de bancos colgados y trabas para comprar los 200 dólares,01/09/2020 - 10:58,,https://www.clarin.com/economia/clasico-principio-mes-bloquean-sitios-bancos-pueden-comprar-us-200_0_UO_A4QWpM.html
36,Canje de deuda: el misterio del 1% que no entró a la reestructuración,01/09/2020 - 10:08,,https://www.clarin.com/economia/canje-deuda-misterio-1-entro-reestructuracion_0_LrSv02Iep.html
37,Jubilados: duras críticas al borrador del proyecto oficial que prevé que el aumento pase de 3 a 6 meses,01/09/2020 - 9:04,,https://www.clarin.com/economia/jubilados-duras-criticas-proyecto-oficial-preve-aumento-pase-3-6-meses_0_dKI0QBCrV.html
38,La Hidrovía y la “tentación del bien”,01/09/2020 - 9:00,,https://www.clarin.com/rural/hidrovia-tentacion-bien-_0_HHBrHvJlo.html
39,Dólar hoy: a cuánto cotizan el oficial y sus diferentes tipos de cambio este martes 01 de septiembre,01/09/2020 - 9:00,,https://www.clarin.com/economia/dolar-hoy-cotizan-oficial-diferentes-tipos-cambio-martes-01-septiembre_0_yN-l95tY8.html
40,Crisis del coronavirus: se redujo la compensación a las obras sociales por la caída de la recaudación,01/09/2020 - 8:37,,https://www.clarin.com/economia/crisis-coronavirus-redujo-compensacion-obras-sociales-caida-recaudacion_0_MsFlOBMTu.html
41,La ANSeS volvió a suspender el trámite de fe de vida para jubilados y pensionados,01/09/2020 - 7:52,,https://www.clarin.com/economia/anses-volvio-suspender-tramite-fe-vida-jubilados-pensionados_0_C0hYc4jIo.html
42,Dólar blue hoy: a cuánto cotiza este martes 01 de septiembre,01/09/2020 - 7:00,,https://www.clarin.com/economia/dolar-blue-hoy-cotiza-martes-01-septiembre_0_FqCTC1fpK.html
43,Aerolíneas: el Gobierno busca que los pilotos vuelen más horas por mes,01/09/2020 - 6:00,,https://www.clarin.com/economia/aerolineas-gobierno-busca-pilotos-vuelen-horas-mes_0_YBHScchEy.html
44,IFE Anses hoy: quién cobra este 01 de septiembre el Ingreso Familiar de Emergencia y cómo sigue el cronograma,01/09/2020 - 6:00,,https://www.clarin.com/economia/ife-paga-anses-martes-1-septiembre_0_FXI7Xo4kH.html
45,Dólar hoy: a cuánto vende cada banco los US$200 oficiales que se pueden comprar,01/09/2020 - 6:00,,https://www.clarin.com/economia/hoy-renueva-cupo-compra-dolares-vende-banco_0_DBAZkizhF.html
